ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  410000         0.0000         0.0000         0.0000         0.0000          -5604.9278       395.9607         0.0000         0.0000       934.8293          -4274.1378       296.9871     -5208.9671     -4272.3342       296.4607           -620.5906      -602.0154     23035.7025      -209.5204      -209.5468
ENERGY:  415000         0.0000         0.0000         0.0000         0.0000          -5595.3773       401.5247         0.0000         0.0000       935.9372          -4257.9154       297.3390     -5193.8526     -4256.1519       302.5250             -5.7666        14.5255     22643.9962      -215.8795      -215.8949
ENERGY:  420000         0.0000         0.0000         0.0000         0.0000          -5599.2918       373.8404         0.0000         0.0000       899.9841          -4325.4672       285.9171     -5225.4514     -4323.4392       300.6304           -764.6965      -762.3708     22925.7660      -277.1425      -277.2061
ENERGY:  425000         0.0000         0.0000         0.0000         0.0000          -5529.2346       372.5994         0.0000         0.0000      1003.5075          -4153.1277       318.8055     -5156.6352     -4151.5183       298.8084           -381.7180      -349.3292     22859.9862      -285.7660      -285.9164
ENERGY:  430000         0.0000         0.0000         0.0000         0.0000          -5499.5364       356.4437         0.0000         0.0000       942.2238          -4200.8690       299.3362     -5143.0927     -4198.6267       302.1167           -518.7648      -484.1259     22695.4746      -216.9539      -216.9191
ENERGY:  435000         0.0000         0.0000         0.0000         0.0000          -5607.3756       381.3126         0.0000         0.0000      1004.8385          -4221.2245       319.2284     -5226.0630     -4217.6441       304.1460           -403.6430      -393.2554     22572.5793      -199.3627      -199.3439
ENERGY:  440000         0.0000         0.0000         0.0000         0.0000          -5561.9555       354.6304         0.0000         0.0000       949.1730          -4258.1521       301.5439     -5207.3251     -4255.7307       301.1266           -570.3030      -547.7325     22593.5175      -194.2087      -194.0112
ENERGY:  445000         0.0000         0.0000         0.0000         0.0000          -5641.6266       429.5414         0.0000         0.0000       948.9022          -4263.1830       301.4579     -5212.0851     -4261.0616       301.9197            276.4120       305.7398     22647.0359      -189.0651      -189.1345
ENERGY:  450000         0.0000         0.0000         0.0000         0.0000          -5616.3804       377.6236         0.0000         0.0000       936.2206          -4302.5362       297.4291     -5238.7568     -4299.9813       292.4214           -111.8192       -97.1180     22442.2163      -277.6729      -277.6632
ENERGY:  455000         0.0000         0.0000         0.0000         0.0000          -5625.5360       450.0667         0.0000         0.0000       928.8358          -4246.6334       295.0830     -5175.4693     -4244.0891       300.6549            501.4297       507.5666     22779.8587      -225.7368      -225.7954
ENERGY:  460000         0.0000         0.0000         0.0000         0.0000          -5527.1457       342.9275         0.0000         0.0000       894.1573          -4290.0609       284.0659     -5184.2182     -4288.3571       298.2436           -816.1929      -799.8973     22889.8689      -216.9287      -216.9332
ENERGY:  465000         0.0000         0.0000         0.0000         0.0000          -5626.7779       420.7208         0.0000         0.0000       978.8588          -4227.1984       310.9748     -5206.0571     -4224.5031       297.1390            130.1814       147.2684     22641.5755      -302.9254      -302.8386
ENERGY:  470000         0.0000         0.0000         0.0000         0.0000          -5664.5386       413.3300         0.0000         0.0000       924.3283          -4326.8803       293.6510     -5251.2086     -4325.0663       298.3168           -189.7487      -149.3945     22614.8935      -144.0294      -144.0111
ENERGY:  475000         0.0000         0.0000         0.0000         0.0000          -5587.8901       414.3307         0.0000         0.0000       953.3172          -4220.2422       302.8605     -5173.5594     -4217.3598       294.8318            -29.8412       -29.7432     23005.7821      -229.3630      -229.2567
ENERGY:  480000         0.0000         0.0000         0.0000         0.0000          -5458.4624       318.6826         0.0000         0.0000       940.3441          -4199.4358       298.7391     -5139.7799     -4197.3829       303.0085           -854.0787      -842.6870     22982.8599      -209.0781      -209.0511
ENERGY:  485000         0.0000         0.0000         0.0000         0.0000          -5647.8706       452.3217         0.0000         0.0000       925.8550          -4269.6939       294.1360     -5195.5489     -4268.9194       298.2049            355.1734       371.8675     22773.6690      -223.1808      -223.3376
ENERGY:  490000         0.0000         0.0000         0.0000         0.0000          -5586.0075       382.3414         0.0000         0.0000       932.4003          -4271.2657       296.2154     -5203.6660     -4269.2254       298.6706           -297.3606      -273.5836     22502.8503      -214.8162      -214.7519
ENERGY:  495000         0.0000         0.0000         0.0000         0.0000          -5602.8153       393.5581         0.0000         0.0000       946.4397          -4262.8175       300.6756     -5209.2572     -4261.0536       299.6432           -368.1214      -355.0446     22809.9833      -247.6678      -247.7303
ENERGY:  500000         0.0000         0.0000         0.0000         0.0000          -5649.4959       408.7265         0.0000         0.0000       987.6756          -4253.0938       313.7759     -5240.7694     -4249.9510       300.6570           -211.0324      -208.7732     22788.8699      -210.1883      -210.2845
